x0,x1,y0,y2
0.07,0.0,-2.185867639751287,0.9242533492064495
0.07,0.005,-2.1858289507739412,0.923776901572386
0.07,0.01,-2.1856383106057833,0.922337595731511
0.07,0.015,-2.1852119666569436,0.919935762098137
0.07,0.02,-2.1844635118758164,0.9165731057042095
0.07,0.025,-2.1833043162796435,0.9122527614215064
0.07,0.03,-2.1816439186256797,0.9069791419943811
0.07,0.035,-2.179390461151983,0.9007579800437568
0.07,0.04,-2.176451103519685,0.8935962778347983
0.07,0.045,-2.1727324097910428,0.8855022227728286
0.07,0.05,-2.1681408442190957,0.8764853521137648
0.07,0.055,-2.1625830295454707,0.8665562293255455
0.07,0.06,-2.1559662059940083,0.8557265972887043
0.07,0.065,-2.1481985700312536,0.8440092983967482
0.07,0.07,-2.1391896138790507,0.8314182400171612
0.07,0.075,-2.128850444589281,0.8179683598611469
0.07,0.08,-2.117094081684253,0.8036755912791982
0.07,0.085,-2.1038356491427974,0.7885567359552179
0.07,0.09,-2.088992953931024,0.7726297945008682
0.07,0.095,-2.0724862443141148,0.7559133907660368
0.07,0.1,-2.054238727021532,0.7384270926427255
0.07,0.105,-2.034176683277343,0.7201912895502199
0.07,0.11,-2.0122295039833715,0.7012270424608891
0.07,0.115,-1.9883303787928894,0.6815565056547366
0.07,0.12,-1.9624156511950615,0.6612022136491619
0.07,0.125,-1.9344254562151049,0.6401874946040618
0.07,0.13,-1.9043037104085863,0.6185363250415347
0.07,0.135,-1.871998218223844,0.5962732956302115
0.07,0.14,-1.8374607719232658,0.573423577174568
0.07,0.145,-1.8006472473853896,0.5500128868314936
0.07,0.15,-1.7615174578651027,0.5260673103041165
0.07,0.155,-1.7200361950377232,0.5016138426765798
0.07,0.16,-1.6761719267318225,0.47667949879049265
0.07,0.165,-1.6298975339397987,0.4512916957499772
0.07,0.17,-1.581191309523418,0.42547868724091
0.07,0.175,-1.5300354186258023,0.39926862301464994
0.07,0.18,-1.4764171115599205,0.3726901195120559
0.07,0.185,-1.420328589489864,0.34577207784037867
0.07,0.19,-1.3617671496360417,0.31854365182906075
0.07,0.195,-1.3007353418805336,0.29103421610562985
0.07,0.2,-1.23724113693366,0.26327333412579323
0.07,0.205,-1.1712981058787313,0.23529072608735876
0.07,0.21,-1.102925610548159,0.2071162366554711
0.07,0.215,-1.0321485748344807,0.1787796331051126
0.07,0.22,-0.9589993953750765,0.15031124904344792
0.07,0.225,-0.8835156257784114,0.12174093748915774
0.07,0.23,-0.8057413999743228,0.09309854112218371
0.07,0.235,-0.7257291078614906,0.06441437297611549
0.07,0.24,-0.643536834790845,0.03571815711694973
0.07,0.245,-0.5592304193467491,0.007039676048917809
0.07,0.25,-0.47288320491652946,-0.021591435603225184
0.07,0.255,-0.38457623522036405,-0.050145727365130094
0.07,0.26,-0.29439843225160767,-0.07859396961632589
