,t,E_init,E_PI,N_SP,E_ref,E_bc,E_tot,E_ref_newnorm
45.0,0.08799999952316284,2.4451122283935547,1.0271397829055786,1.0,0.12412073463201523,0.0,3.4722518920898438,0.14236284792423248
46.0,0.09000000357627869,2.4451122283935547,1.0556772947311401,1.0,0.1257096827030182,0.0,3.5007896423339844,0.1439765840768814
47.0,0.09200000017881393,2.4451122283935547,1.0838451385498047,1.0,0.12722162902355194,0.0,3.5289573669433594,0.14550285041332245
48.0,0.09399999678134918,2.4451122283935547,1.1114319562911987,1.0,0.1286555677652359,0.0,3.556544303894043,0.14694060385227203
49.0,0.09600000083446503,2.4451122283935547,1.1382848024368286,1.0,0.1300104707479477,0.0,3.5833969116210938,0.1482888162136078
50.0,0.09799999743700027,2.4451122283935547,1.164221167564392,1.0,0.13128550350666046,0.0,3.6093335151672363,0.14954666793346405
51.0,0.10000000149011612,2.4451122283935547,1.1890817880630493,1.0,0.13247977197170258,0.0,3.6341938972473145,0.1507132351398468
52.0,0.10199999809265137,2.4451122283935547,1.2127175331115723,1.0,0.13359257578849792,0.0,3.657829761505127,0.15178778767585754
53.0,0.10400000214576721,2.4451122283935547,1.2349975109100342,1.0,0.13462312519550323,0.0,3.680109739303589,0.1527695506811142
54.0,0.10599999874830246,2.4451122283935547,1.255818247795105,1.0,0.13557080924510956,0.0,3.700930595397949,0.15365788340568542
55.0,0.1080000028014183,2.4451122283935547,1.2750788927078247,1.0,0.1364349126815796,0.0,3.72019100189209,0.15445208549499512
56.0,0.10999999940395355,2.4451122283935547,1.2927367687225342,1.0,0.1372150480747223,0.0,3.737848997116089,0.15515173971652985
57.0,0.1120000034570694,2.4451122283935547,1.3087331056594849,1.0,0.1379106491804123,0.0,3.75384521484375,0.15575630962848663
58.0,0.11400000005960464,2.4451122283935547,1.323093295097351,1.0,0.13852129876613617,0.0,3.7682056427001953,0.15626537799835205
59.0,0.11599999666213989,2.4451122283935547,1.3358489274978638,1.0,0.13904663920402527,0.0,3.780961036682129,0.15667858719825745
60.0,0.11800000071525574,2.4451122283935547,1.3470954895019531,1.0,0.13948634266853333,0.0,3.792207717895508,0.15699566900730133
61.0,0.11999999731779099,2.4451122283935547,1.356992483139038,1.0,0.13984018564224243,0.0,3.8021047115325928,0.1572163999080658
62.0,0.12200000137090683,2.4451122283935547,1.3657578229904175,1.0,0.1401078850030899,0.0,3.8108701705932617,0.1573406159877777
63.0,0.12399999797344208,2.4451122283935547,1.3737024068832397,1.0,0.14028944075107574,0.0,3.818814754486084,0.15736833214759827
64.0,0.12600000202655792,2.4451122283935547,1.3812141418457031,1.0,0.1403847187757492,0.0,3.826326370239258,0.15729951858520508
65.0,0.12800000607967377,2.4451122283935547,1.3888170719146729,1.0,0.14039362967014313,0.0,3.8339293003082275,0.15713419020175934
66.0,0.12999999523162842,2.4451122283935547,1.3971155881881714,1.0,0.14031639695167542,0.0,3.8422279357910156,0.1568726897239685
67.0,0.13199999928474426,2.4451122283935547,1.406808614730835,1.0,0.1401529163122177,0.0,3.8519208431243896,0.15651509165763855
68.0,0.1340000033378601,2.4451122283935547,1.4186418056488037,1.0,0.13990332186222076,0.0,3.8637540340423584,0.15606167912483215
69.0,0.13600000739097595,2.4451122283935547,1.4333343505859375,1.0,0.13956794142723083,0.0,3.878446578979492,0.1555130034685135
70.0,0.1379999965429306,2.4451122283935547,1.4514384269714355,1.0,0.13914693892002106,0.0,3.8965506553649902,0.1548694521188736
71.0,0.14000000059604645,2.4451122283935547,1.473309874534607,1.0,0.1386406272649765,0.0,3.918422222137451,0.15413159132003784
72.0,0.1420000046491623,2.4451122283935547,1.4989502429962158,1.0,0.13804925978183746,0.0,3.9440624713897705,0.15330000221729279
73.0,0.14399999380111694,2.4451122283935547,1.5280816555023193,1.0,0.13737346231937408,0.0,3.973193883895874,0.15237560868263245
74.0,0.1459999978542328,2.4451122283935547,1.5601565837860107,1.0,0.1366134136915207,0.0,4.0052690505981445,0.15135902166366577
75.0,0.14800000190734863,2.4451122283935547,1.5944948196411133,1.0,0.13576963543891907,0.0,4.039607048034668,0.1502511352300644
76.0,0.15000000596046448,2.4451122283935547,1.6302978992462158,1.0,0.13484278321266174,0.0,4.075409889221191,0.14905306696891785
77.0,0.15199999511241913,2.4451122283935547,1.6666299104690552,1.0,0.13383333384990692,0.0,4.11174201965332,0.1477658450603485
78.0,0.15399999916553497,2.4451122283935547,1.7023171186447144,1.0,0.13274192810058594,0.0,4.147429466247559,0.1463906168937683
79.0,0.15600000321865082,2.4451122283935547,1.7397536039352417,1.0,0.13156911730766296,0.0,4.184865951538086,0.14492860436439514
80.0,0.15800000727176666,2.4451122283935547,1.7802526950836182,1.0,0.13031575083732605,0.0,4.225364685058594,0.1433812826871872
81.0,0.1599999964237213,2.4451122283935547,1.8164864778518677,1.0,0.1289825588464737,0.0,4.261598587036133,0.14175012707710266
82.0,0.16200000047683716,2.4451122283935547,1.8484830856323242,1.0,0.12757009267807007,0.0,4.293595314025879,0.14003650844097137
83.0,0.164000004529953,2.4451122283935547,1.8749057054519653,1.0,0.12607938051223755,0.0,4.3200178146362305,0.13824230432510376
84.0,0.16599999368190765,2.4451122283935547,1.8988921642303467,1.0,0.12451119720935822,0.0,4.3440046310424805,0.1363692283630371
85.0,0.1679999977350235,2.4451122283935547,1.9230386018753052,1.0,0.1228664368391037,0.0,4.36815071105957,0.13441921770572662
86.0,0.17000000178813934,2.4451122283935547,1.9407545328140259,1.0,0.12114595621824265,0.0,4.385866641998291,0.13239425420761108
87.0,0.1720000058412552,2.4451122283935547,1.9523392915725708,1.0,0.11935088783502579,0.0,4.397451400756836,0.13029666244983673
88.0,0.17399999499320984,2.4451122283935547,1.957798957824707,1.0,0.1174822524189949,0.0,4.402911186218262,0.1281287670135498
89.0,0.17599999904632568,2.4451122283935547,1.9577362537384033,1.0,0.11554092913866043,0.0,4.402848243713379,0.12589290738105774
90.0,0.17800000309944153,2.4451122283935547,1.9536798000335693,1.0,0.11352825909852982,0.0,4.398792266845703,0.12359195947647095
91.0,0.18000000715255737,2.4451122283935547,1.9488722085952759,1.0,0.11144531518220901,0.0,4.393984317779541,0.12122870981693268
92.0,0.18199999630451202,2.4451122283935547,1.9496122598648071,1.0,0.10929359495639801,0.0,4.394724369049072,0.11880646646022797
93.0,0.18400000035762787,2.4451122283935547,1.9659180641174316,1.0,0.10707418620586395,0.0,4.411030292510986,0.11632837355136871
94.0,0.1860000044107437,2.4451122283935547,2.0097196102142334,1.0,0.10478877276182175,0.0,4.454832077026367,0.11379831284284592
95.0,0.18799999356269836,2.4451122283935547,2.088977336883545,1.0,0.10243896394968033,0.0,4.5340895652771,0.11122028529644012
96.0,0.1899999976158142,2.4451122283935547,2.2044105529785156,1.0,0.10002629458904266,0.0,4.64952278137207,0.10859852284193039
97.0,0.19200000166893005,2.4451122283935547,2.352752923965454,1.0,0.09755289554595947,0.0,4.79786491394043,0.10593805462121964
98.0,0.1940000057220459,2.4451122283935547,2.530704975128174,1.0,0.09502076357603073,0.0,4.9758172035217285,0.1032441258430481
99.0,0.19599999487400055,2.4451122283935547,2.73635196685791,1.0,0.09243248403072357,0.0,5.181464195251465,0.10052285343408585
100.0,0.1979999989271164,2.4451122283935547,2.9688613414764404,1.0,0.08979051560163498,0.0,5.413973808288574,0.09778066724538803
101.0,0.20000000298023224,2.4451122283935547,3.2282330989837646,1.0,0.087098129093647,0.0,5.673345565795898,0.09502518177032471
