x0,x1,y0,y2
0.002,0.0,0.42254016237265896,0.9831989514901308
0.002,0.005,0.421457124530702,0.9827428001622501
0.002,0.01,0.4182787427295615,0.9813637398001204
0.002,0.015,0.4130562765503652,0.9790625283054414
0.002,0.02,0.40584604111484107,0.9758406563424228
0.002,0.025,0.39670943865936653,0.9717004116244216
0.002,0.03,0.3857125406215955,0.9666447487938891
0.002,0.035,0.3729260803288313,0.960677348970539
0.002,0.04,0.35842523881261473,0.9538025944759388
0.002,0.045,0.34228935655517395,0.9460255138173365
0.002,0.05,0.32460212946807626,0.9373519691544877
0.002,0.055,0.3054508205217396,0.9277883772092749
0.002,0.06,0.2849264120985909,0.9173418906209109
0.002,0.065,0.26312327839179156,0.9060203574758227
0.002,0.07,0.24013893593481278,0.8938323261546198
0.002,0.075,0.2160737808986965,0.8807870515349866
0.002,0.08,0.19103081342335065,0.8668945022530096
0.002,0.085,0.16511519264043134,0.8521652784584816
0.002,0.09,0.13843456004396654,0.8366109764609716
0.002,0.095,0.11109780119326623,0.8202436705060022
0.002,0.1,0.08321533909021278,0.8030762675364232
0.002,0.105,0.0548986540527962,0.7851224299686753
0.002,0.11,0.026259777558604203,0.7663964692094526
0.002,0.115,-0.0025883625312579372,0.7469138031984807
0.002,0.12,-0.031533309906457696,0.7266902918704626
0.002,0.125,-0.06046274215965014,0.7057426830074669
0.002,0.13,-0.089264984100424,0.6840885052096985
0.002,0.135,-0.11782934884186552,0.6617460684283526
0.002,0.14,-0.14604647474755,0.6387344625817468
0.002,0.145,-0.17380865656661426,0.6150735541299808
0.002,0.15,-0.20101032946306419,0.5907838339009899
0.002,0.155,-0.22754773874005874,0.5658869921940536
0.002,0.16,-0.25332021858607645,0.540405039890782
0.002,0.165,-0.2782299791619436,0.5143607147891017
0.002,0.17,-0.3021819637804747,0.4877779484205672
0.002,0.175,-0.32508501017246744,0.4606809176128208
0.002,0.18,-0.34685150740156623,0.43309464324877134
0.002,0.185,-0.3673977904308876,0.40504481558852523
0.002,0.19,-0.38664437030451915,0.37655777117064604
0.002,0.195,-0.4045161512087983,0.34766046782567916
0.002,0.2,-0.42094263469229665,0.3183804579334494
0.002,0.205,-0.43585811145698905,0.2887458600683702
0.002,0.21,-0.449201841239393,0.25878532918711405
0.002,0.215,-0.4609182862638975,0.2285278443462553
0.002,0.22,-0.47095699948378217,0.1980033996534961
0.002,0.225,-0.47927319196254226,0.16724188871089427
0.002,0.23,-0.48582761580014777,0.136273605295793
0.002,0.235,-0.49058662297271094,0.10512976881995542
0.002,0.24,-0.493522521753471,0.07384138140467963
0.002,0.245,-0.49461352368729383,0.0424399297037866
0.002,0.25,-0.49384389454661365,0.010957165178787032
0.002,0.255,-0.4912040536967546,-0.020574931747433606
0.002,0.26,-0.4866906662063628,-0.05212418756737336
0.002,0.265,-0.4803067274837438,-0.0836582715264308
0.002,0.27,-0.47206158533619624,-0.11514491884035657
0.002,0.275,-0.4619712158162556,-0.14655121588679745
0.002,0.28,-0.45005798683239523,-0.17784476206139774
0.002,0.285,-0.4363508916493585,-0.20899295399554918
0.002,0.29,-0.42088554108451737,-0.23996320877364036
0.002,0.295,-0.40370418550360154,-0.27072299930866706
0.002,0.3,-0.384855603866544,-0.30124007091096594
0.002,0.305,-0.36439555147847746,-0.33148175076740205
0.002,0.31,-0.34238605349958895,-0.3614160755306345
0.002,0.315,-0.3188957900220963,-0.3910110983969203
0.002,0.32,-0.2939999084249201,-0.4202351086047778
0.002,0.325,-0.2677799149031156,-0.44905666891244156
0.002,0.33,-0.24032336778674374,-0.477444821662275
0.002,0.335,-0.2117243662823472,-0.5053684535506727
0.002,0.34,-0.18208235785542873,-0.5327973510714267
0.002,0.345,-0.1515025372397611,-0.5597015617679036
0.002,0.35,-0.12009539628022903,-0.5860516065920306
0.002,0.355,-0.08797639070782148,-0.6118185226688723
0.002,0.36,-0.05526536584673497,-0.6369740549948578
0.002,0.365,-0.022086916865229178,-0.6614901047157887
0.002,0.37,0.01143125128385053,-0.6853396740379154
0.002,0.375,0.045158061199509714,-0.7084963081058916
0.002,0.38,0.07895981518926448,-0.7309342924646113
0.002,0.385,0.11270079641071246,-0.7526286986640173
0.002,0.39,0.14624390949716065,-0.7735554294881222
0.002,0.395,0.17945155361058668,-0.7936913810888602
0.002,0.4,0.21218554014764351,-0.8130140110511611
0.002,0.405,0.24430901485441497,-0.8315021007080204
0.002,0.41,0.2756864158876901,-0.8491353103706372
0.002,0.415,0.30618443811215773,-0.8658943397108174
0.002,0.42,0.3356728032048843,-0.8817609631900772
0.002,0.425,0.3640251919066633,-0.8967181490074665
0.002,0.43,0.3911193299685857,-0.9107497372515111
0.002,0.435,0.41683873820710066,-0.9238410008450509
0.002,0.44,0.44107275508034965,-0.9359783056295213
0.002,0.445,0.46371737817947595,-0.9471492206413655
0.002,0.45,0.4846758880417515,-0.9573425325767325
0.002,0.455,0.5038595282766398,-0.9665483081850043
0.002,0.46,0.5211875707430358,-0.9747576871842311
0.002,0.465,0.5365884493779569,-0.9819632141723351
0.002,0.47,0.5499996690309896,-0.9881586120171475
0.002,0.475,0.5613682293197231,-0.9933388348811035
0.002,0.48,0.570650853161186,-0.997500060005227
0.002,0.485,0.5778141748978507,-1.000639691978728
0.002,0.49,0.5828346573336884,-1.0027562796652363
0.002,0.495,0.5856988479880527,-1.00384961155085
0.002,0.5,0.5864031224847266,-1.0039206154999012
0.002,0.505,0.5849535912456783,-1.002971359187207
0.002,0.51,0.5813658922095946,-1.0010050270256632
0.002,0.515,0.5756649238266762,-0.998025895640725
0.002,0.52,0.5678845241760497,-0.9940393081733094
0.002,0.525,0.5580671025283079,-0.9890516476798652
0.002,0.53,0.5462632299887669,-0.9830703098835607
0.002,0.535,0.5325310210724594,-0.9761035866290693
0.002,0.54,0.5169363408426624,-0.9681609820007466
0.002,0.545,0.4995513300201165,-0.9592526860283028
0.002,0.55,0.48045453181402237,-0.9493898676290261
0.002,0.555,0.45973022544621683,-0.9385845701596556
0.002,0.56,0.4374679092236516,-0.9268496846934413
0.002,0.5650000000000001,0.4137617858194474,-0.9141989239684082
0.002,0.5700000000000001,0.3887102541577561,-0.9006467971302408
0.002,0.5750000000000001,0.36241541167058894,-0.886208585376298
0.002,0.58,0.3349825700517836,-0.8709003185896447
0.002,0.585,0.3065197869916941,-0.8547387530333733
0.002,0.59,0.2771374157497602,-0.8377413501557566
0.002,0.595,0.2469473095722618,-0.8199260393635163
0.002,0.6,0.21606385957899482,-0.8013120583970247
0.002,0.605,0.1846014418355621,-0.7819186609850072
0.002,0.61,0.1526754770194248,-0.761765940167188
0.002,0.615,0.120401722311746,-0.7408746051157038
0.002,0.62,0.08789593660912426,-0.7192659664417013
0.002,0.625,0.05527356245451015,-0.6969619223452328
0.002,0.63,0.022649423170251703,-0.6739849454813923
0.002,0.635,-0.00986256648378464,-0.6503580703973053
0.002,0.64,-0.04214967790550467,-0.6261048813784444
0.002,0.645,-0.07410063632484204,-0.6012495005298808
0.002,0.65,-0.10560588037821189,-0.575816575908317
0.002,0.655,-0.13655781535292144,-0.5498312695149574
0.002,0.66,-0.16685141856292385,-0.5233189258725699
0.002,0.665,-0.19638304799900594,-0.4963063296929724
0.002,0.67,-0.22505285465546832,-0.4688197955520768
0.002,0.675,-0.2527635719147934,-0.440886411713747
0.002,0.68,-0.27942112439175626,-0.41253371167280495
0.002,0.685,-0.30493487264297,-0.3837896574635207
0.002,0.6900000000000001,-0.3292178594617011,-0.35468262164242004
0.002,0.6950000000000001,-0.3521870579532255,-0.3252413678341223
0.002,0.7000000000000001,-0.37376362131023255,-0.29549502974949426
0.002,0.705,-0.39387313392805157,-0.2654730886068541
0.002,0.71,-0.4124458632193045,-0.23520534890844905
