,t,E_init,E_PI,N_SP,E_ref,E_bc,E_tot
50.0,0.09799999743700027,0.1254200041294098,0.035591017454862595,2.0,0.12677590548992157,0.0,0.16101102530956268
51.0,0.10000000149011612,0.1254200041294098,0.0442805215716362,1.0,0.12676487863063812,0.0,0.1697005331516266
52.0,0.10199999809265137,0.1254200041294098,0.04512663185596466,1.0,0.12675069272518158,0.0,0.17054663598537445
53.0,0.10400000214576721,0.1254200041294098,0.045964255928993225,1.0,0.12673410773277283,0.0,0.17138426005840302
54.0,0.10599999874830246,0.1254200041294098,0.046798232942819595,1.0,0.12671597301959991,0.0,0.1722182333469391
55.0,0.1080000028014183,0.1254200041294098,0.04763057455420494,1.0,0.12669706344604492,0.0,0.17305058240890503
56.0,0.10999999940395355,0.1254200041294098,0.04845822602510452,1.0,0.12667830288410187,0.0,0.17387822270393372
57.0,0.1120000034570694,0.1254200041294098,0.04928593337535858,1.0,0.12666048109531403,0.0,0.17470593750476837
58.0,0.11400000005960464,0.1254200041294098,0.05011652037501335,1.0,0.12664438784122467,0.0,0.17553652822971344
59.0,0.11599999666213989,0.1254200041294098,0.04369335249066353,2.0,0.12663082778453827,0.0,0.16911335289478302
60.0,0.11800000071525574,0.1254200041294098,0.0517827644944191,1.0,0.1266205608844757,0.0,0.1772027611732483
61.0,0.11999999731779099,0.1254200041294098,0.0454750582575798,2.0,0.1266142874956131,0.0,0.1708950698375702
62.0,0.12200000137090683,0.1254200041294098,0.04636684060096741,2.0,0.12661264836788177,0.0,0.1717868447303772
63.0,0.12399999797344208,0.1254200041294098,0.04725446552038193,2.0,0.12661635875701904,0.0,0.17267447710037231
64.0,0.12600000202655792,0.1254200041294098,0.048143647611141205,2.0,0.12662597000598907,0.0,0.1735636591911316
65.0,0.12800000607967377,0.1254200041294098,0.05603403598070145,1.0,0.1266419142484665,0.0,0.18145403265953064
66.0,0.12999999523162842,0.1254200041294098,0.05691133812069893,1.0,0.12666480243206024,0.0,0.18233133852481842
67.0,0.13199999928474426,0.1254200041294098,0.0508141815662384,2.0,0.12669487297534943,0.0,0.1762341856956482
68.0,0.1340000033378601,0.1254200041294098,0.05170655623078346,2.0,0.12673240900039673,0.0,0.17712655663490295
69.0,0.13600000739097595,0.1254200041294098,0.052595075219869614,2.0,0.1267777383327484,0.0,0.1780150830745697
70.0,0.1379999965429306,0.1254200041294098,0.05348470062017441,2.0,0.12683098018169403,0.0,0.1789047122001648
71.0,0.14000000059604645,0.1254200041294098,0.05437321588397026,2.0,0.12689219415187836,0.0,0.17979322373867035
72.0,0.1420000046491623,0.1254200041294098,0.055268339812755585,2.0,0.12696130573749542,0.0,0.18068835139274597
73.0,0.14399999380111694,0.1254200041294098,0.0633048489689827,1.0,0.1270383894443512,0.0,0.1887248456478119
74.0,0.1459999978542328,0.1254200041294098,0.0642605870962143,1.0,0.12712310254573822,0.0,0.18968059122562408
75.0,0.14800000190734863,0.1254200041294098,0.06522685289382935,1.0,0.1272152215242386,0.0,0.19064685702323914
76.0,0.15000000596046448,0.1254200041294098,0.058825768530368805,2.0,0.1273145079612732,0.0,0.184245765209198
77.0,0.15199999511241913,0.1254200041294098,0.05971506983041763,2.0,0.12742048501968384,0.0,0.18513506650924683
78.0,0.15399999916553497,0.1254200041294098,0.055150870233774185,3.0,0.1275327205657959,0.0,0.18057087063789368
79.0,0.15600000321865082,0.1254200041294098,0.05597810447216034,3.0,0.12765063345432281,0.0,0.18139810860157013
80.0,0.15800000727176666,0.1254200041294098,0.07020343095064163,1.0,0.1277737021446228,0.0,0.19562342762947083
81.0,0.1599999964237213,0.1254200041294098,0.06326358765363693,2.0,0.12790130078792572,0.0,0.18868359923362732
82.0,0.16200000047683716,0.1254200041294098,0.06414741277694702,2.0,0.1280326098203659,0.0,0.1895674169063568
83.0,0.164000004529953,0.1254200041294098,0.06504011899232864,2.0,0.1281670331954956,0.0,0.19046011567115784
84.0,0.16599999368190765,0.1254200041294098,0.06592045724391937,2.0,0.12830376625061035,0.0,0.19134046137332916
85.0,0.1679999977350235,0.1254200041294098,0.06680399179458618,2.0,0.12844204902648926,0.0,0.19222399592399597
86.0,0.17000000178813934,0.1254200041294098,0.07650282233953476,1.0,0.12858104705810547,0.0,0.20192283391952515
87.0,0.1720000058412552,0.1254200041294098,0.06276034563779831,3.0,0.12872007489204407,0.0,0.1881803572177887
88.0,0.17399999499320984,0.1254200041294098,0.06950128078460693,2.0,0.12885834276676178,0.0,0.19492128491401672
89.0,0.17599999904632568,0.1254200041294098,0.07042339444160461,2.0,0.12899497151374817,0.0,0.1958433985710144
90.0,0.17800000309944153,0.1254200041294098,0.05904998257756233,6.0,0.12912936508655548,0.0,0.18446998298168182
91.0,0.18000000715255737,0.1254200041294098,0.07229828834533691,2.0,0.12926077842712402,0.0,0.1977182924747467
92.0,0.18199999630451202,0.1254200041294098,0.07327073067426682,2.0,0.1293887197971344,0.0,0.1986907422542572
93.0,0.18400000035762787,0.1254200041294098,0.06823620200157166,3.0,0.1295124590396881,0.0,0.19365620613098145
94.0,0.1860000044107437,0.1254200041294098,0.06922711431980133,3.0,0.1296316683292389,0.0,0.19464711844921112
95.0,0.18799999356269836,0.1254200041294098,0.0763646736741066,2.0,0.1297459900379181,0.0,0.2017846703529358
96.0,0.1899999976158142,0.1254200041294098,0.08951567113399506,1.0,0.12985503673553467,0.0,0.21493567526340485
97.0,0.19200000166893005,0.1254200041294098,0.07866605371236801,2.0,0.12995882332324982,0.0,0.2040860652923584
98.0,0.1940000057220459,0.1254200041294098,0.07990987598896027,2.0,0.13005729019641876,0.0,0.20532988011837006
99.0,0.19599999487400055,0.1254200041294098,0.08122123777866364,2.0,0.13015075027942657,0.0,0.20664124190807343
100.0,0.1979999989271164,0.1254200041294098,0.07601848244667053,3.0,0.1302393674850464,0.0,0.20143848657608032
101.0,0.20000000298023224,0.1254200041294098,0.0840970054268837,2.0,0.1303238868713379,0.0,0.2095170021057129
